user,method,equation,restrictions,opt_force_N,valid,invalid_reason,rmse_all_levels,rmse_fitted_samples,n_fitted_samples,max_push_force_N,coef_quad,coef_lin,coef_const,coef_exp_A,coef_exp_k,coef_exp_c
28,Linear,y = a·x + b,a ≤ 0 (falling); fit on all 4 levels,177.50000000000009,True,,6.324555320336761,6.324555320336761,4,250.92,,-0.20000000000000023,84.00000000000006,,,
3,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",48.75000000000187,True,,3.162277660168931,3.162277660168931,4,261.35,-8.767071917719959e-16,-0.39999999999992386,67.99999999999912,,,
4,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",28.200000000000202,True,,2.6726124191242713,2.6726124191242713,4,216.67999999999998,-9.00155045573345e-17,-0.3571428571428502,58.57142857142852,,,
5,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",21.66666666666662,True,,4.140393356054125,4.140393356054125,4,172.04,-3.1416623988368564e-20,-0.04285714285714272,49.42857142857142,,,
6,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",168.37543085107671,True,,2.3111698616928176,2.3111698616928176,4,106.76,-0.0015323992994746055,-3.4127515791789234e-18,91.94395796847635,,,
7,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",153.88888888888894,True,,2.0701966780270635,2.0701966780270635,4,96.82,-3.390950155528728e-25,-0.12857142857142856,68.28571428571429,,,
8,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",,False,no crossing,8.291561975888802,8.291561975888802,4,209.39,-1.9291121245085356e-16,-3.1250463830810576e-16,62.500000000000576,,,
9,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",7.598850565221248,True,,1.9069251784911836,1.9069251784911836,4,246.76,-0.001136363636363635,-0.14090909090908987,49.636363636363626,,,
10,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",63.0,True,,12.247448713915892,12.247448713915892,4,192.43999999999997,-8.183288914257866e-21,-0.4999999999999999,80.0,,,
11,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",98.9356051593862,True,,8.677930620827466,8.677930620827466,4,109.79,-0.0027583187390542918,-1.843853414190928e-18,75.49912434325745,,,
12,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",54.807534003590845,True,,1.9069251784911847,1.9069251784911847,4,66.77,-0.0011363636363636263,-0.14090909090909032,59.63636363636361,,,
13,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",,False,no crossing,4.767312946227961,4.767312946227961,4,201.9,-0.0034090909090909,-0.022727272727272818,40.90909090909092,,,
14,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",56.20983414443848,True,,7.699477999910974,7.699477999910974,4,89.87,-0.005779334500874218,-1.218674996609504e-13,66.76007005254071,,,
15,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",78.06233927803677,True,,8.52009060738021,8.52009060738021,4,230.66,-0.0051663747810858154,-7.339731700773744e-19,79.98248686514887,,,
16,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",95.90909090909088,True,,8.618916073713345,8.618916073713345,4,189.39,-3.7706915132130394e-21,-0.4714285714285714,93.71428571428571,,,
17,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",123.75000000000003,True,,14.491376746189438,14.491376746189438,4,191.56000000000003,-1.4397141569383668e-20,-0.3999999999999998,97.99999999999999,,,
18,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",87.81321704042043,True,,1.9069251784911834,1.9069251784911834,4,141.85,-0.001136363636363616,-0.1409090909090911,69.63636363636363,,,
19,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",,False,no crossing,10.897247358851683,10.897247358851683,4,244.26,-3.332369928337868e-19,-5.751641674107444e-19,57.50000000000001,,,
20,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",15.249999999999991,True,,8.864052604279184,8.864052604279184,4,161.18,-9.073567495001497e-27,-0.2857142857142857,52.857142857142854,,,
21,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",65.68181818181819,True,,6.210590034081189,6.210590034081189,4,149.61,-6.482245341832017e-20,-0.31428571428571417,69.14285714285714,,,
22,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",,False,no crossing,12.990381056767964,12.990381056767964,4,141.23,-5.892032821145815e-16,-9.599003812904894e-15,57.50000000000214,,,
23,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",80.47862550575181,True,,2.38365647311398,2.38365647311398,4,138.16,-0.0017045454545454475,-0.011363636363635132,60.45454545454541,,,
24,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",256.3396184751572,True,,4.960438938828844,4.960438938828844,4,190.99,-0.0002626970227671207,-2.0106197610643796e-18,65.76182136602465,,,
25,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",157.44311141909503,True,,9.920877877657679,9.920877877657679,4,247.73,-0.0005253940455343368,-1.864116180402513e-17,61.52364273204958,,,
26,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",,False,no crossing,4.622339723385635,4.622339723385635,4,146.79,-0.003064798598949213,-8.805675937497514e-18,33.887915936952716,,,
27,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",73.74999999999991,True,,3.162277660168931,3.162277660168931,4,225.4,-8.767071917719959e-16,-0.39999999999992386,77.99999999999912,,,
28,Quadratic,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0 ⟺ vertex ≤ 0 N  ⟹  y' ≤ 0 (monotone), y'' ≤ 0",107.45497395919568,True,,4.622339723385638,4.622339723385638,4,250.92,-0.003064798598949213,-8.805664356968938e-18,83.88791593695272,,,
3,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",48.750000000000014,True,,3.162277660168378,3.162277660168378,4,261.35,-5.67156194477837e-26,-0.39999999999999986,68.0,,,
4,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",28.200000000000482,True,,2.6726124191243152,2.6726124191243152,4,216.67999999999998,-2.1862660274224938e-16,-0.3571428571428402,58.57142857142844,,,
